                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.537,                 1.6938,                 1.8745,                 0.6678,                0.59727,                0.64546,                0.33483,                 1.6831,                 1.7555,                 1.9531,              0.0003466,              0.0003466,              0.0003466
                     36,                   1.54,                 1.7061,                 1.8918,                0.60366,                0.55257,                0.65649,                0.34603,                 1.6367,                 1.6734,                 1.8996,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.5255,                 1.6869,                 1.8544,                0.64568,                0.58769,                0.66495,                0.35926,                 1.6314,                 1.6237,                 1.9065,               0.000307,               0.000307,               0.000307
                     38,                 1.5067,                 1.6876,                 1.8596,                0.66273,                0.62579,                0.67329,                0.35973,                 1.6323,                 1.6359,                 1.9074,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.5093,                 1.6494,                 1.8578,                0.57478,                 0.6361,                0.66431,                0.35849,                 1.6324,                 1.6074,                 1.8978,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.5129,                 1.6389,                 1.8557,                0.59981,                0.65496,                0.68283,                0.36034,                 1.6267,                 1.6075,                 1.9008,              0.0002476,              0.0002476,              0.0002476
                     41,                 1.5732,                 1.6877,                 1.8926,                0.72488,                  0.582,                0.66243,                0.35367,                 1.6416,                  1.575,                 1.9104,              0.0002278,              0.0002278,              0.0002278
                     42,                 1.5394,                 1.6218,                 1.8769,                0.69283,                0.58268,                0.65748,                0.34791,                 1.6092,                 1.5622,                 1.8858,               0.000208,               0.000208,               0.000208
                     43,                 1.5314,                 1.5986,                 1.8568,                0.62108,                0.67504,                0.68672,                0.36702,                 1.6239,                  1.555,                 1.8797,              0.0001882,              0.0001882,              0.0001882
                     44,                 1.5082,                   1.57,                 1.8382,                0.65292,                0.59257,                0.67331,                0.37332,                 1.5663,                 1.5489,                 1.8262,              0.0001684,              0.0001684,              0.0001684
                     45,                 1.4916,                 1.5477,                 1.8253,                0.66232,                0.62354,                0.69926,                0.38038,                 1.5864,                 1.5096,                 1.8736,              0.0001486,              0.0001486,              0.0001486
                     46,                 1.4974,                  1.512,                 1.8305,                0.59595,                0.70281,                0.71026,                0.38368,                 1.6047,                 1.4865,                  1.876,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.4856,                 1.5177,                 1.8337,                 0.7398,                0.61167,                  0.706,                0.38191,                 1.6199,                 1.4906,                  1.886,               0.000109,               0.000109,               0.000109
                     48,                 1.4613,                 1.5055,                 1.8082,                0.72659,                0.60508,                0.70128,                0.38565,                 1.5744,                 1.4925,                 1.8443,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                 1.4703,                 1.5115,                 1.8164,                0.65262,                 0.6471,                0.71773,                0.40105,                 1.5482,                 1.4538,                 1.8262,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                 1.4544,                 1.4678,                 1.8141,                0.79091,                0.60466,                0.71867,                0.39626,                 1.5479,                 1.4588,                 1.8236,               4.96e-05,               4.96e-05,               4.96e-05
